,Username,Link,Text,Human,Chat GPT,Date
,singkongn,https://www.tiktok.com/@singkongn,Metropolis wangi nya enak banget,Positif,Positif,15/01/2024
,sayangku.277k8,https://www.tiktok.com/@sayangku.277k8,mau dong mbak,Netral,Netral,14/01/2024
,dwiyunita5590,https://www.tiktok.com/@dwiyunita5590,"yah, stok habis",Negatif,Negatif,11/01/2024
,user9389223675880,https://www.tiktok.com/@user9389223675880,rekomendasi yang buat cewe kalau di pakai siang hari buat sekolah tidak mual apa kak?,Netral,Netral,11/01/2024
,endahyumna07,https://www.tiktok.com/@endahyumna07,"tidak bisa di bagian dalam siku dan di leher, langsung gatal",Negatif,Negatif,11/01/2024
,nnyllee_,https://www.tiktok.com/@nnyllee_,"parfum Morris crazy life paling enak sih, manis banget",Positif,Positif,10/01/2024
,rmdnz_3,https://www.tiktok.com/@rmdnz_3,"Morris sudah tidak asing lagi, memang se-wangi itu ",Positif,Positif,07/01/2024
,enyyy05_,https://www.tiktok.com/@enyyy05_,wangi nya segar,Positif,Positif,28/12/2023
,saidahhayani,https://www.tiktok.com/@saidahhayani,"sampai nya kok lama banget ya, udah pesan dari kemarin-kemarin, tapi belum sampai juga",Negatif,Negatif,28/12/2023
,sutrisno4222,https://www.tiktok.com/@sutrisno4222,"mahal doang, tapi wangi nya cepat hilang",Negatif,Negatif,28/12/2023
,nilam11116,https://www.tiktok.com/@nilam11116,"kena angin dikit, langsung ga ada lagi wangi nya",Negatif,Negatif,28/12/2023
,yohanistallan,https://www.tiktok.com/@yohanistallan,mantap wangi nya,Positif,Positif,28/12/2023
,gunawan4672,https://www.tiktok.com/@gunawan4672,"wangi ya kakak, parfum nya",Positif,Positif,28/12/2023
,user955309298122,https://www.tiktok.com/@user955309298122,"wow keren, itu sering aku pakai",Positif,Positif,28/12/2023
,apasaja7888,https://www.tiktok.com/@apasaja7888,"Wangi nya menyengat kurang, enak dan tidak tahan lama",Negatif,Negatif,28/12/2023
,khalimahtussyadia,https://www.tiktok.com/@khalimahtussyadia,wangi nya enak banget,Positif,Positif,28/12/2023
,evi.santi7,https://www.tiktok.com/@evi.santi7,"memang mantap, saya sudah pakai",Positif,Positif,28/12/2023
,bagasvijar3,https://www.tiktok.com/@bagasvijar3,berapa harga nya? ,Netral,Netral,28/12/2023
,ninit_m,https://www.tiktok.com/@ninit_m,"parfum Morris travel wangi nya enak semua, apalagi yang cappadocia dan paris suka banget wangi nya",Positif,Positif,27/12/2023
,mahliigai,https://www.tiktok.com/@mahliigai,morris yang wangi nya fresh gitu yang apa ya? ,Netral,Netral,27/12/2023
,isti.yk,https://www.tiktok.com/@isti.yk,Tidak enak wangi nya,Negatif,Negatif,27/12/2023
,willy_stefano,https://www.tiktok.com/@willy_stefano,Pengiriman lama,Negatif,Negatif,27/12/2023
,liaauuw,https://www.tiktok.com/@liaauuw,emang se-enak itu parfum Morris,Positif,Positif,26/12/2023
,fiaa2025,https://www.tiktok.com/@fiaa2025,"selain wangi nya yang manis, botol parfum nya cantik-cantik",Positif,Positif,26/12/2023
,robintanlain,https://www.tiktok.com/@robintanlain,Pesan Morris malah yang datang parfum merk lain gimana ini,Negatif,Negatif,26/12/2023
,_just.zafaonly_,https://www.tiktok.com/@_just.zafaonly_,"kak, parfum Morris yang wangi nya fresh fruit gitu yang mana kak?",Netral,Netral,25/12/2023
,leogirl0o,https://www.tiktok.com/@leogirl0o,"enak semua, jadi bingung mau beli varian apa",Positif,Positif,25/12/2023
,aryy.insan,https://www.tiktok.com/@aryy.insan,"Saya pesan dua, tapi kenapa barang nya yang datang hanya satu",Negatif,Negatif,25/12/2023
,dewagaluh89,https://www.tiktok.com/@dewagaluh89,bagus,Positif,Netral,25/12/2023
,riskawati6835,https://www.tiktok.com/@riskawati6835,mantap minyak wangi nya,Positif,Positif,25/12/2023
,simansimano,https://www.tiktok.com/@simansimano,"mantap, aku suka",Positif,Positif,24/12/2023
,desi.nurmayanti2,https://www.tiktok.com/@desi.nurmayanti2,"wajib coba nih parfum Morris, enak banget",Positif,Positif,24/12/2023
,hj..fat,https://www.tiktok.com/@hj..fat,pakai alkohol atau tidak?,Netral,Netral,24/12/2023
,syauki7712,https://www.tiktok.com/@syauki7712,aku dari dulu sampai sekarang selalu pakai Morris,Positif,Netral,24/12/2023
,asbihabih8,https://www.tiktok.com/@asbihabih8,mantap Morris,Positif,Positif,24/12/2023
,icanusi0,https://www.tiktok.com/@icanusi0,"Biasa saja wangi nya, sama aja seperti parfum lain nya",Negatif,Negatif,24/12/2023
,varie97,https://www.tiktok.com/@varie97,"kak, aku mau beli parfum nya",Netral,Netral,24/12/2023
,aqmaralfatih3,https://www.tiktok.com/@aqmaralfatih3,berapa mili sih kakak? ,Netral,Netral,23/12/2023
,awalawal7602,https://www.tiktok.com/@awalawal7602,wangi sama botol nya sama-sama cantik,Positif,Positif,23/12/2023
