,Username,Link,Text,Human,Date
,singkongn,https://www.tiktok.com/@singkongn,Metropolis wangi nya enak banget,Positif,15/01/2024
,sayangku.277k8,https://www.tiktok.com/@sayangku.277k8,parfum buat cewek ada ga ka?,Netral,14/01/2024
,dwiyunita5590,https://www.tiktok.com/@dwiyunita5590,"yah, stok habis",Negatif,11/01/2024
,user9389223675880,https://www.tiktok.com/@user9389223675880,rekomendasi yang buat cewe kalau di pakai siang hari buat sekolah tidak mual apa kak?,Netral,11/01/2024
,endahyumna07,https://www.tiktok.com/@endahyumna07,"tidak bisa di bagian dalam siku dan di leher, langsung gatal",Negatif,11/01/2024
,nnyllee_,https://www.tiktok.com/@nnyllee_,"parfum Morris crazy life paling enak sih, manis banget",Positif,10/01/2024
,rmdnz_3,https://www.tiktok.com/@rmdnz_3,"Morris sudah tidak asing lagi, memang se-wangi itu",Positif,07/01/2024
,enyyy05_,https://www.tiktok.com/@enyyy05_,wangi nya segar,Positif,28/12/2023
,saidahhayani,https://www.tiktok.com/@saidahhayani,"sampai nya kok lama banget ya, udah pesan dari kemarin-kemarin, tapi belum sampai juga",Negatif,28/12/2023
,sutrisno4222,https://www.tiktok.com/@sutrisno4222,"mahal doang, tapi wangi nya cepat hilang",Negatif,28/12/2023
,nilam11116,https://www.tiktok.com/@nilam11116,"kena angin dikit, langsung ga ada lagi wangi nya",Negatif,28/12/2023
,yohanistallan,https://www.tiktok.com/@yohanistallan,mantap wangi nya,Positif,28/12/2023
,gunawan4672,https://www.tiktok.com/@gunawan4672,"wangi ya kakak, parfum nya",Positif,28/12/2023
,user955309298122,https://www.tiktok.com/@user955309298122,"wow keren, itu sering aku pakai",Positif,28/12/2023
,apasaja7888,https://www.tiktok.com/@apasaja7888,"Wangi nya menyengat kurang, enak dan tidak tahan lama",Negatif,28/12/2023
,khalimahtussyadia,https://www.tiktok.com/@khalimahtussyadia,wangi nya enak banget,Positif,28/12/2023
,evi.santi7,https://www.tiktok.com/@evi.santi7,"memang mantap, saya sudah pakai",Positif,28/12/2023
